"","GSM253220.CEL.gz","GSM253221.CEL.gz","GSM253222.CEL.gz","GSM253223.CEL.gz","GSM253224.CEL.gz","GSM253225.CEL.gz","GSM253226.CEL.gz","GSM253227.CEL.gz","GSM253228.CEL.gz","GSM253229.CEL.gz","GSM253230.CEL.gz","GSM253231.CEL.gz","GSM253232.CEL.gz","GSM253233.CEL.gz","GSM253234.CEL.gz","GSM253235.CEL.gz","GSM253236.CEL.gz","GSM253237.CEL.gz"
"Pf.12.344.0_CDS_at",8.0634269235026,7.94653069215548,7.7353224736842,8.10109422813815,7.81480021621241,8.13177987671127,7.78460468845913,7.58390342743984,7.72394713756727,7.07968003700828,7.57851331624273,7.53400391737874,7.09450858265577,6.60185809390975,6.56269263116918,7.14853085639799,7.20254037729298,7.22794854559084
"Pf.13_1.110.0_CDS_at",8.27134888077857,7.55193936831795,7.67971652916099,7.42612961197529,8.05887974546429,8.02701967962201,8.30744424424006,8.19082173817996,8.40448216644826,7.61534317939804,8.18326653556473,8.48342363401293,8.84258707135506,8.02847412396677,8.50115376417402,8.25426909922484,8.84883702964018,9.25410341193699
"Pf.13_1.286.0_CDS_at",4.36255437251608,4.44854706289147,4.05832348367919,3.84146053592269,4.13754555062326,4.52749411124681,3.87368508835326,3.52386060281583,3.99487717219961,3.33540973888219,3.53216692759274,3.53326528578759,3.69049207077257,2.65645922813653,3.17449714491947,3.46086712029292,3.43494549840937,3.96385227904043
"Pf.9.153.0_CDS_at",7.62253840570966,7.2776963729739,7.09643142989161,6.9878881969647,7.50296571446671,7.42396236380469,7.16857419672569,7.02029684993758,7.4673621967306,6.25614982880583,6.87192736008923,7.39983425958943,7.06044246717983,5.76167740296793,6.97567218665496,6.71547773197163,7.26872529518427,7.64675263958127
"Pf.10.395.0_CDS_at",6.01748835510577,6.05651834051675,5.82771072002883,6.01208269718583,5.77867404147423,5.15597086462685,5.05249732454731,5.05411572872896,5.34989259305912,4.86774186415946,5.41746800512693,5.14433594934065,4.89270802567867,4.8855803345987,4.81101217679075,4.66998062772958,4.72484722500177,4.97694812071179
"Pf.12.453.0_CDS_x_at",11.5482768064286,11.4813718278417,11.4057714338618,11.6845909058173,11.3976219797444,11.5694528150754,10.628478546537,10.7284899541234,10.6011504511865,10.2069517996175,10.8075305602557,10.607803064227,10.6872602214911,10.5217115787581,10.4892931613912,10.9969113262351,10.4923114955939,10.4285277421565
"Pf.13_1.673.0_CDS_at",7.34256684944902,7.41849807488725,7.30165220036737,7.55813850248978,7.37628296028933,7.40647826896774,7.04389230107259,6.04325684740907,6.79751643881239,5.82569187334026,6.6518085741023,6.55338398931356,6.97914697781712,6.86749379536109,6.66459913037029,7.22969058154395,6.77867157883228,7.11723504269134
"Pf.10.338.0_CDS_at",7.07661972475501,6.46745081174024,6.46905870827876,6.38184622323577,6.44435458169677,6.52383297003893,6.78371920710492,6.51353855046424,6.92851181184474,5.71524517220145,6.51669001887653,6.66238408014025,7.12686280128746,7.38810335131874,7.50306309297174,7.48424791200907,7.18398261501124,7.27538497667125
"Pf.14.732.0_CDS_at",4.03585770632064,4.2411390502918,3.67460014936067,3.32555204686992,4.20232152607649,4.10357565864233,4.07830822520527,4.01809577047911,4.28137092664457,3.40268332977475,3.59781734987013,4.14283579272287,3.41572796129442,2.5459631799777,3.44391303813059,3.08564553804259,3.70689588699269,4.12156924942117
"Pf.9.19.0_CDS_at",3.84982751418019,3.70937973078687,3.67690610760174,3.39036678620717,3.96498135682878,3.80516210399862,4.27323563095041,4.35689086426771,4.47965708621958,4.08452399591473,4.44309384867506,4.56912836546932,4.73959461958006,4.72258940273592,4.8052679698119,4.13822990016524,4.61254273871721,5.19442288019439
