"","106_1_Control","106_1_CQ","106_1_76I_Control","106_1_76I_CQ","106_1_76I_352K_Control","106_1_76I_352K_CQ"
"Pf.10.84.0_CDS_at",10.1155000528034,10.1219326998366,10.6409675209088,10.5221717501174,11.0480035111639,11.0096242492502
"Pf.12.232.0_CDS_at",4.2647195072419,4.48059526873829,4.68469641557308,4.71448122395273,4.55455319886188,5.11233336111217
"Pf.14.538.0_CDS_at",6.99801172233438,7.1315144623907,6.7874155979256,6.38842231401026,6.77412672464637,7.10122734221053
"Pf.11.469.1_a_at",5.60903225122861,5.77192183770336,6.01364730413448,5.82569259311535,6.4981385286516,6.66622069496795
"Pf.5.134.0_CDS_at",11.5415276096143,11.5868973697565,10.654699750871,10.6388083692983,11.1476138270806,11.3405647810992
"Pf.14.675.0_CDS_at",8.45018541266929,8.53786110211893,7.93080780840266,7.72132905181511,7.65115641427768,8.0519033132771
"Pf.13_1.364.0_CDS_at",6.93034672275136,6.74745213225661,6.1590504975758,5.97104207866528,6.32984324753011,6.73643799210923
"Pf.13_1.567.0_CDS_at",7.92816959967762,7.85469724315524,7.47334449784044,7.4827377104999,7.09550482009471,7.3939791569856
"Pf.10.79.0_CDS_at",9.29088499735548,9.32536430964269,8.8003939925414,8.69389728571554,8.30183634604417,8.6640428240942
"AF528106.1_s_at",4.57415246935925,4.79991288672659,5.19676202812948,5.09705582339146,4.28079645013866,4.43004307949754
"Pf.2.200.0_CDS_at",9.61887239180447,9.56760583675184,9.2054538387925,8.79981461818079,9.12845706894389,9.29992941764687
"Pf.12.596.0_at",8.59593957589242,8.26063425936228,8.67795444809847,8.68331633506637,9.35208679637748,9.23108297305659
"Pf.12.276.0_CDS_at",2.92758627074218,3.03529661223366,3.36250456985844,3.27266822603961,3.96330338805493,3.80942059036237
"Pf.13_1.238.0_CDS_at",5.6905140939418,5.61051533714842,5.18547026298481,5.18966448904069,4.81784100486935,5.26322473457394
"Pf.4.114.0_CDS_at",6.96282344913568,6.89258089137119,6.95788229374143,6.36663915909782,7.14705698972845,7.43574543649581
"Pf.11.464.0_CDS_at",10.0369238664724,10.0454794249074,10.3200015373303,10.1227961552139,11.0085540595753,10.8171800967931
"L40605.1_s_at",9.65585583419238,9.44323876173875,10.1504366239056,10.0172443615354,10.4782636481314,10.3231343089596
"Pf.11.521.0_at",7.86760377502708,7.74201329428284,8.11234442969307,7.77249106638201,8.68245786280892,8.52877002522891
"AJ420670.1_RC_x_at",7.53454422670051,7.57872914059188,7.34534087557982,7.64451143039568,6.89264064747484,6.67694481784338
